Sembol,Açıklama,Fiyat,Fiyat - Döviz,"Fiyat değişimi %, 1 gün","Hacim, 1 gün","Bağıl hacim, 1 gün",Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY","Temettü verimi %, Son 12 ay",Sektör,Analist derecelendirmesi
SILVR,SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,2.24,TRY,-1.7543859649122628,607148,0.3957046466169571,797999990,TRY,,-0.672,TRY,-463.2858340318525,0,Üretici imalatı,Derecelendirme yok
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,42.44,TRY,0,45556303,1.1614164441417187,125684594986,TRY,11.325789923142613,3.7472,TRY,199.84796351124265,1.38458529688973,Dayanıklı tüketim malları,Al
SKBNK,ŞEKERBANK T.A.Ş.,5.97,TRY,-7.298136645962742,301234580,1.9594714481620725,16100000143,TRY,5.471041055718475,1.0912,TRY,-19.917804197857045,0.993788819875776,Finans,Derecelendirme yok
SKTAS,SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,3.17,TRY,-1.5527950310559087,4769189,0.5578462332121693,1610000014,TRY,,-0.207,TRY,79.59787108219989,0,İşlenebilen endüstriler,Derecelendirme yok
SKYLP,Skyalp Finansal Teknolojiler ve Danismanlik A.S,252.75,TRY,-4.53257790368272,39654,0.3281255042403776,2515125000,TRY,,-2.7385,TRY,-128.99071828748225,0,Ticari hizmetler,Derecelendirme yok
SKYMD,Seker Yatirim Menkul Degerler A.S.,14.81,TRY,5.334281650071124,2789445,0.9009160166292448,2179300065,TRY,,-0.8199,TRY,-100.70991432068543,0,Finans,Derecelendirme yok
SMART,SMARTİKS YAZILIM A.Ş.,23.3,TRY,-3.239202657807299,1195589,0.5396267802860193,767248979,TRY,,-1.3268,TRY,-714.2592592592592,0,Teknoloji hizmetleri,Derecelendirme yok
SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,10.94,TRY,0.5514705882352824,15182378,0.4689333433686235,19770265755,TRY,,-0.0229,TRY,75.37634408602149,0,Elektronik teknoloji,Derecelendirme yok
SMRVA,Sumer Varlik Yonetim A.S.,11.39,TRY,0.44091710758378055,10926134,1.3139851572248213,6804000092,TRY,,,,,1.6597619047619,Ticari hizmetler,Derecelendirme yok
SNGYO,SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,3.25,TRY,-3.2738095238095206,11704289,0.36448933947013096,13088036419,TRY,15.761396702230844,0.2062,TRY,-82.07735767057801,0,Finans,Derecelendirme yok
